z,y,x,split,cube_size,rock,porosity,percolates_z,percolates_y,percolates_x
0,0,0,train,64,BanderaBrown,0.20718002319335938,1.0,1.0,1.0
0,0,64,train,64,BanderaBrown,0.22451019287109375,1.0,1.0,1.0
0,0,128,train,64,BanderaBrown,0.21603775024414062,1.0,1.0,1.0
0,0,192,train,64,BanderaBrown,0.1756591796875,1.0,1.0,1.0
0,0,256,train,64,BanderaBrown,0.15713119506835938,0.0,1.0,1.0
0,0,320,train,64,BanderaBrown,0.2118377685546875,1.0,1.0,1.0
0,0,384,train,64,BanderaBrown,0.2676811218261719,1.0,1.0,1.0
0,0,448,train,64,BanderaBrown,0.18406295776367188,1.0,1.0,1.0
0,0,512,train,64,BanderaBrown,0.14831924438476562,1.0,1.0,1.0
0,0,576,train,64,BanderaBrown,0.22974014282226562,1.0,1.0,1.0
0,0,640,train,64,BanderaBrown,0.235504150390625,1.0,1.0,1.0
0,0,704,train,64,BanderaBrown,0.23625946044921875,1.0,1.0,1.0
0,0,768,train,64,BanderaBrown,0.21091842651367188,1.0,1.0,1.0
0,0,832,train,64,BanderaBrown,0.32242584228515625,1.0,1.0,1.0
0,0,896,train,64,BanderaBrown,0.21414947509765625,1.0,1.0,1.0
0,0,936,train,64,BanderaBrown,0.19656753540039062,1.0,1.0,1.0
0,64,0,train,64,BanderaBrown,0.1976165771484375,1.0,1.0,1.0
0,64,64,train,64,BanderaBrown,0.15480422973632812,1.0,1.0,0.0
0,64,128,train,64,BanderaBrown,0.16713333129882812,1.0,1.0,1.0
0,64,192,train,64,BanderaBrown,0.23139572143554688,1.0,1.0,1.0
0,64,256,train,64,BanderaBrown,0.173858642578125,1.0,1.0,1.0
0,64,320,train,64,BanderaBrown,0.2787590026855469,1.0,1.0,1.0
0,64,384,train,64,BanderaBrown,0.24495315551757812,1.0,1.0,1.0
0,64,448,train,64,BanderaBrown,0.10890960693359375,0.0,1.0,1.0
0,64,512,train,64,BanderaBrown,0.23591232299804688,1.0,1.0,1.0
0,64,576,train,64,BanderaBrown,0.1973114013671875,1.0,1.0,1.0
0,64,640,train,64,BanderaBrown,0.245086669921875,1.0,1.0,1.0
0,64,704,train,64,BanderaBrown,0.24201583862304688,1.0,1.0,1.0
0,64,768,train,64,BanderaBrown,0.28511810302734375,1.0,1.0,1.0
0,64,832,train,64,BanderaBrown,0.2584190368652344,1.0,1.0,1.0
0,64,896,train,64,BanderaBrown,0.18316268920898438,1.0,1.0,1.0
0,64,936,train,64,BanderaBrown,0.18861770629882812,1.0,1.0,1.0
0,128,0,train,64,BanderaBrown,0.18268585205078125,1.0,1.0,1.0
0,128,64,train,64,BanderaBrown,0.15581893920898438,1.0,0.0,1.0
0,128,128,train,64,BanderaBrown,0.21889877319335938,1.0,1.0,1.0
0,128,192,train,64,BanderaBrown,0.16495895385742188,1.0,1.0,1.0
0,128,256,train,64,BanderaBrown,0.18097686767578125,1.0,1.0,1.0
0,128,320,train,64,BanderaBrown,0.2823486328125,1.0,1.0,1.0
0,128,384,train,64,BanderaBrown,0.20277786254882812,1.0,1.0,1.0
